Faculté;Semestre;Crédits;Nom;Professeur;Lien;Moyenne_Intérêt;Moyenne_Difficulté;Moyenne_Travail;Moyenne_Globale;Nombre_Evaluations
SSP;Annuel;6.00;Anthropologie culturelle et sociale A;Mark Goodale;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95651&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;1.5;1.5;1.5;1.5;1
SSP;Annuel;6.00;Anthropologie culturelle et sociale B;Irene Maffi;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95653&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;1.5;1.5;1.5;1.5;2
SSP;Annuel;6.00;Anthropologie culturelle et sociale I;Mark Goodale;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95526&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;1.5;1.5;1.5;1.5;1
SSP;Annuel;6.00;Concepts de base en sciences sociales;Laurence Kaufmann;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=86400&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Histoire de la psychologie;Rémy Amouroux;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=92931&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Histoire des idées politiques;Olivier Ruchet;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95354&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Histoire internationale contemporaine;Stefanie Prezioso;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=93953&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Institutions et régimes politiques;Sean Müller;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95522&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la psychologie sociale;Jessica Gale;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=93961&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche;Jonathan Miaz;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95981&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: interactions familiales et parcours de vie;Jacques-Antoine Gauthier;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=68563&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: la construction sociale du corps;Pierre-Emmanuel Sorignet;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=91926&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: la perspective de genre;Lavinia Gianettoni;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95524&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: migrations et transnationalisme;Flavia Cangià;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=96947&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: vote, abstention et rapport au politique 1;Andrea Pilotti;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=87181&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: vote, abstention et rapport au politique 2;Hervé Rayner;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=46298&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la recherche: vote, abstention et rapport au politique 3;Sélim Smaoui;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95525&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction à la science politique;Olivier Fillieule;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=92600&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Automne;3.00;Introduction à l'histoire des activités physiques et du sport;Philippe Vonnard;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=91774&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction aux méthodes de l'histoire I;Ami-Jacques Rapin;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=56264&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Introduction aux théories économiques;Roberto Baranzini;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=92601&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Politique sociale;Leen Vandecasteele;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=80255&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Psychologie du développement;Catherine Thevenot;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=56403&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Automne;3.00;Sciences sociales et sport;Fabien Ohl;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=60962&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Sociologie générale A;Philippe Gonzalez;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95652&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Sociologie générale B;Marc Perrenoud;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=92544&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
SSP;Annuel;6.00;Sociologie générale I;Gaële Goastellec;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95528&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=;0;0;0;0;0
